Matchday#, Team_Against, Home_Away, Match_Result, Word, TF-IDF
01, ガンバ大阪, Away, Win, 加入, 0.049
01, ガンバ大阪, Away, Win, タレント, 0.02
01, ガンバ大阪, Away, Win, スタメン, 0.02
01, ガンバ大阪, Away, Win, ユニーク, 0.02
01, ガンバ大阪, Away, Win, 持つ, 0.02
01, ガンバ大阪, Away, Win, 入り, 0.02
01, ガンバ大阪, Away, Win, 進化, 0.02
01, ガンバ大阪, Away, Win, ポテンシャル, 0.02
01, ガンバ大阪, Away, Win, 使う, 0.02
01, ガンバ大阪, Away, Win, 甘く, 0.02
02, ベガルタ仙台, Home, Win, 開幕, 0.051
02, ベガルタ仙台, Home, Win, 以外, 0.034
02, ベガルタ仙台, Home, Win, いい, 0.034
02, ベガルタ仙台, Home, Win, 早く, 0.027
02, ベガルタ仙台, Home, Win, 若い, 0.027
02, ベガルタ仙台, Home, Win, ２, 0.026
02, ベガルタ仙台, Home, Win, ＣＢ, 0.025
02, ベガルタ仙台, Home, Win, 成熟, 0.025
02, ベガルタ仙台, Home, Win, おっしゃる, 0.025
02, ベガルタ仙台, Home, Win, 望ん, 0.025
03, 川崎フロンターレ, Home, Draw, プレス, 0.054
03, 川崎フロンターレ, Home, Draw, 持た, 0.024
03, 川崎フロンターレ, Home, Draw, 運ぶ, 0.024
03, 川崎フロンターレ, Home, Draw, フェア, 0.024
03, 川崎フロンターレ, Home, Draw, 追い, 0.024
03, 川崎フロンターレ, Home, Draw, ボール, 0.024
03, 川崎フロンターレ, Home, Draw, 行け, 0.02
03, 川崎フロンターレ, Home, Draw, かけ, 0.018
03, 川崎フロンターレ, Home, Draw, 後ろ, 0.015
03, 川崎フロンターレ, Home, Draw, 自信, 0.013
04, 大分トリニータ, Away, Lose, 決める, 0.051
04, 大分トリニータ, Away, Lose, 倒す, 0.047
04, 大分トリニータ, Away, Lose, 獲得, 0.047
04, 大分トリニータ, Away, Lose, 握る, 0.047
04, 大分トリニータ, Away, Lose, お互い, 0.038
04, 大分トリニータ, Away, Lose, 速く, 0.038
04, 大分トリニータ, Away, Lose, 変わっ, 0.032
04, 大分トリニータ, Away, Lose, 切り替え, 0.032
04, 大分トリニータ, Away, Lose, 多い, 0.032
04, 大分トリニータ, Away, Lose, 守備, 0.03
05, サガン鳥栖, Home, Draw, ＧＫ, 0.073
05, サガン鳥栖, Home, Draw, 急ぎ, 0.04
05, サガン鳥栖, Home, Draw, 過ぎ, 0.04
05, サガン鳥栖, Home, Draw, ペナルティーエリア, 0.04
05, サガン鳥栖, Home, Draw, 意図, 0.028
05, サガン鳥栖, Home, Draw, パク, 0.028
05, サガン鳥栖, Home, Draw, やれ, 0.022
05, サガン鳥栖, Home, Draw, ラッキー, 0.02
05, サガン鳥栖, Home, Draw, アン, 0.02
05, サガン鳥栖, Home, Draw, 以来, 0.02
06, 浦和レッズ, Away, Win, 距離, 0.034
06, 浦和レッズ, Away, Win, 保つ, 0.028
06, 浦和レッズ, Away, Win, 近い, 0.028
06, 浦和レッズ, Away, Win, 前節, 0.026
06, 浦和レッズ, Away, Win, コンパクト, 0.023
06, 浦和レッズ, Away, Win, 皆, 0.017
06, 浦和レッズ, Away, Win, 一番, 0.017
06, 浦和レッズ, Away, Win, 重要, 0.016
06, 浦和レッズ, Away, Win, 決める, 0.015
06, 浦和レッズ, Away, Win, 高い, 0.015
07, 名古屋グランパス, Home, Draw, ＰＫ, 0.025
07, 名古屋グランパス, Home, Draw, 勇敢, 0.025
07, 名古屋グランパス, Home, Draw, 集中, 0.02
07, 名古屋グランパス, Home, Draw, 与え, 0.017
07, 名古屋グランパス, Home, Draw, ジョー, 0.016
07, 名古屋グランパス, Home, Draw, ミス, 0.016
07, 名古屋グランパス, Home, Draw, 若い, 0.013
07, 名古屋グランパス, Home, Draw, 毎週, 0.013
07, 名古屋グランパス, Home, Draw, パクイルギュ, 0.013
07, 名古屋グランパス, Home, Draw, 視, 0.013
08, 北海道コンサドーレ札幌, Away, Lose, メンバー, 0.057
08, 北海道コンサドーレ札幌, Away, Lose, 結びつき, 0.047
08, 北海道コンサドーレ札幌, Away, Lose, 動かさ, 0.047
08, 北海道コンサドーレ札幌, Away, Lose, バイタルエリア, 0.047
08, 北海道コンサドーレ札幌, Away, Lose, 欠け, 0.038
08, 北海道コンサドーレ札幌, Away, Lose, つくっ, 0.035
08, 北海道コンサドーレ札幌, Away, Lose, ミス, 0.035
08, 北海道コンサドーレ札幌, Away, Lose, 意図, 0.032
08, 北海道コンサドーレ札幌, Away, Lose, 質, 0.032
08, 北海道コンサドーレ札幌, Away, Lose, 取ら, 0.032
09, 鹿島アントラーズ, Home, Win, 作る, 0.034
09, 鹿島アントラーズ, Home, Win, ドリブル, 0.034
09, 鹿島アントラーズ, Home, Win, テンポ, 0.027
09, 鹿島アントラーズ, Home, Win, 速く, 0.027
09, 鹿島アントラーズ, Home, Win, 内部, 0.022
09, 鹿島アントラーズ, Home, Win, 目立っ, 0.022
09, 鹿島アントラーズ, Home, Win, 堅守, 0.022
09, 鹿島アントラーズ, Home, Win, 格好, 0.022
09, 鹿島アントラーズ, Home, Win, 結びつける, 0.022
09, 鹿島アントラーズ, Home, Win, ミス, 0.021
10, サンフレッチェ広島, Away, Win, ディフェンス, 0.033
10, サンフレッチェ広島, Away, Win, 合わせ, 0.021
10, サンフレッチェ広島, Away, Win, たどり着い, 0.021
10, サンフレッチェ広島, Away, Win, 掛け合っ, 0.021
10, サンフレッチェ広島, Away, Win, 取りあげ, 0.021
10, サンフレッチェ広島, Away, Win, みれ, 0.021
10, サンフレッチェ広島, Away, Win, 働き, 0.021
10, サンフレッチェ広島, Away, Win, づらかっ, 0.021
10, サンフレッチェ広島, Away, Win, 攻め込ん, 0.021
10, サンフレッチェ広島, Away, Win, こじ開ける, 0.021
11, セレッソ大阪, Away, Lose, 表現, 0.133
11, セレッソ大阪, Away, Lose, 効果, 0.067
11, セレッソ大阪, Away, Lose, 策, 0.067
11, セレッソ大阪, Away, Lose, 崩せ, 0.067
11, セレッソ大阪, Away, Lose, 勝ち, 0.055
11, セレッソ大阪, Away, Lose, 戦術, 0.053
11, セレッソ大阪, Away, Lose, どうこう, 0.053
11, セレッソ大阪, Away, Lose, 回し, 0.053
11, セレッソ大阪, Away, Lose, 打開, 0.053
11, セレッソ大阪, Away, Lose, 意図, 0.046
12, ヴィッセル神戸, Home, Win, 起用, 0.019
12, ヴィッセル神戸, Home, Win, 先週, 0.019
12, ヴィッセル神戸, Home, Win, 扇原, 0.017
12, ヴィッセル神戸, Home, Win, 一丸, 0.016
12, ヴィッセル神戸, Home, Win, ん, 0.012
12, ヴィッセル神戸, Home, Win, 過程, 0.011
12, ヴィッセル神戸, Home, Win, 出る, 0.011
12, ヴィッセル神戸, Home, Win, パク, 0.011
12, ヴィッセル神戸, Home, Win, 交代, 0.01
12, ヴィッセル神戸, Home, Win, セーブ, 0.009
13, ジュビロ磐田, Home, Win, 決断, 0.037
13, ジュビロ磐田, Home, Win, 数字, 0.031
13, ジュビロ磐田, Home, Win, フォーメーション, 0.031
13, ジュビロ磐田, Home, Win, ポジション, 0.029
13, ジュビロ磐田, Home, Win, スプリント, 0.025
13, ジュビロ磐田, Home, Win, 波, 0.025
13, ジュビロ磐田, Home, Win, 能力, 0.025
13, ジュビロ磐田, Home, Win, 回数, 0.021
13, ジュビロ磐田, Home, Win, 示し, 0.021
13, ジュビロ磐田, Home, Win, 務め, 0.021
14, 湘南ベルマーレ, Away, Win, 個人, 0.027
14, 湘南ベルマーレ, Away, Win, スタイル, 0.025
14, 湘南ベルマーレ, Away, Win, ワンボランチ, 0.018
14, 湘南ベルマーレ, Away, Win, ツーボランチ, 0.018
14, 湘南ベルマーレ, Away, Win, パワー, 0.018
14, 湘南ベルマーレ, Away, Win, プレス, 0.018
14, 湘南ベルマーレ, Away, Win, 比べ, 0.014
14, 湘南ベルマーレ, Away, Win, 周り, 0.014
14, 湘南ベルマーレ, Away, Win, 連動, 0.014
14, 湘南ベルマーレ, Away, Win, 重視, 0.014
15, 清水エスパルス, Away, Lose, 代わっ, 0.098
15, 清水エスパルス, Away, Lose, チアゴマルチンス, 0.098
15, 清水エスパルス, Away, Lose, 交代, 0.08
15, 清水エスパルス, Away, Lose, 成, 0.079
15, 清水エスパルス, Away, Lose, 忠, 0.079
15, 清水エスパルス, Away, Lose, 残念, 0.068
15, 清水エスパルス, Away, Lose, 出し切っ, 0.067
15, 清水エスパルス, Away, Lose, 勝て, 0.067
15, 清水エスパルス, Away, Lose, 与え, 0.067
15, 清水エスパルス, Away, Lose, 李, 0.059
16, 松本山雅FC, Home, Win, 波, 0.022
16, 松本山雅FC, Home, Win, ポジション, 0.015
16, 松本山雅FC, Home, Win, 負け, 0.015
16, 松本山雅FC, Home, Win, 去年, 0.015
16, 松本山雅FC, Home, Win, 本, 0.014
16, 松本山雅FC, Home, Win, 連敗, 0.014
16, 松本山雅FC, Home, Win, 固定, 0.014
16, 松本山雅FC, Home, Win, 臨ん, 0.014
16, 松本山雅FC, Home, Win, 埋める, 0.013
16, 松本山雅FC, Home, Win, 連続, 0.013
17, FC東京, Away, Lose, くださる, 0.021
17, FC東京, Away, Lose, 学ば, 0.017
17, FC東京, Away, Lose, こ, 0.017
17, FC東京, Away, Lose, 学び, 0.017
17, FC東京, Away, Lose, 動き, 0.015
17, FC東京, Away, Lose, 深い, 0.014
17, FC東京, Away, Lose, つもり, 0.014
17, FC東京, Away, Lose, エキサイティング, 0.014
17, FC東京, Away, Lose, 守備, 0.013
17, FC東京, Away, Lose, サポーター, 0.013
18, 大分トリニータ, Home, Win, 三ツ沢, 0.023
18, 大分トリニータ, Home, Win, 長い, 0.023
18, 大分トリニータ, Home, Win, 日産, 0.02
18, 大分トリニータ, Home, Win, 鳴る, 0.019
18, 大分トリニータ, Home, Win, 後押し, 0.019
18, 大分トリニータ, Home, Win, 海外, 0.019
18, 大分トリニータ, Home, Win, 要求, 0.019
18, 大分トリニータ, Home, Win, 止まる, 0.016
18, 大分トリニータ, Home, Win, スタジアム, 0.016
18, 大分トリニータ, Home, Win, 少なく, 0.015
19, 浦和レッズ, Home, Win, 扇原, 0.026
19, 浦和レッズ, Home, Win, 天野, 0.022
19, 浦和レッズ, Home, Win, 判定, 0.019
19, 浦和レッズ, Home, Win, 会見, 0.019
19, 浦和レッズ, Home, Win, レフェリー, 0.019
19, 浦和レッズ, Home, Win, リスタート, 0.019
19, 浦和レッズ, Home, Win, 情熱, 0.019
19, 浦和レッズ, Home, Win, バー, 0.019
19, 浦和レッズ, Home, Win, かけ, 0.019
19, 浦和レッズ, Home, Win, プレッシャー, 0.019
20, ヴィッセル神戸, Away, Win, 少ない, 0.061
20, ヴィッセル神戸, Away, Win, 交代, 0.036
20, ヴィッセル神戸, Away, Win, 得, 0.036
20, ヴィッセル神戸, Away, Win, 姿勢, 0.032
20, ヴィッセル神戸, Away, Win, 脅威, 0.029
20, ヴィッセル神戸, Away, Win, 予定, 0.029
20, ヴィッセル神戸, Away, Win, アクシデント, 0.029
20, ヴィッセル神戸, Away, Win, 与えよ, 0.029
20, ヴィッセル神戸, Away, Win, レッドカード, 0.029
20, ヴィッセル神戸, Away, Win, 追加, 0.029
21, 清水エスパルス, Home, Lose, 厳しい, 0.062
21, 清水エスパルス, Home, Lose, 続き, 0.062
21, 清水エスパルス, Home, Lose, 件, 0.062
21, 清水エスパルス, Home, Lose, 検証, 0.062
21, 清水エスパルス, Home, Lose, ブロック, 0.062
21, 清水エスパルス, Home, Lose, 出し切り, 0.062
21, 清水エスパルス, Home, Lose, 考える, 0.062
21, 清水エスパルス, Home, Lose, 加え, 0.05
21, 清水エスパルス, Home, Lose, 崩し, 0.05
21, 清水エスパルス, Home, Lose, 戦わ, 0.05
22, 鹿島アントラーズ, Away, Lose, 少なく, 0.054
22, 鹿島アントラーズ, Away, Lose, オプション, 0.034
22, 鹿島アントラーズ, Away, Lose, 追いつけ, 0.034
22, 鹿島アントラーズ, Away, Lose, おり, 0.034
22, 鹿島アントラーズ, Away, Lose, いこう, 0.034
22, 鹿島アントラーズ, Away, Lose, 置い, 0.034
22, 鹿島アントラーズ, Away, Lose, 臨ま, 0.034
22, 鹿島アントラーズ, Away, Lose, ゴールゲッター, 0.034
22, 鹿島アントラーズ, Away, Lose, 模索, 0.034
22, 鹿島アントラーズ, Away, Lose, 同点, 0.034
23, セレッソ大阪, Home, Lose, コンディション, 0.047
23, セレッソ大阪, Home, Lose, ピッチ, 0.043
23, セレッソ大阪, Home, Lose, 事前, 0.022
23, セレッソ大阪, Home, Lose, スタジアム, 0.018
23, セレッソ大阪, Home, Lose, 状況, 0.018
23, セレッソ大阪, Home, Lose, ７, 0.018
23, セレッソ大阪, Home, Lose, ホームスタジアム, 0.018
23, セレッソ大阪, Home, Lose, 思う, 0.015
23, セレッソ大阪, Home, Lose, 得, 0.013
23, セレッソ大阪, Home, Lose, やろ, 0.012
24, 名古屋グランパス, Away, Win, 危険, 0.042
24, 名古屋グランパス, Away, Win, 成果, 0.037
24, 名古屋グランパス, Away, Win, つい, 0.025
24, 名古屋グランパス, Away, Win, 向かう, 0.023
24, 名古屋グランパス, Away, Win, 受け止め, 0.023
24, 名古屋グランパス, Away, Win, 実感, 0.023
24, 名古屋グランパス, Away, Win, 向上, 0.023
24, 名古屋グランパス, Away, Win, なれる, 0.023
24, 名古屋グランパス, Away, Win, 行き, 0.023
24, 名古屋グランパス, Away, Win, させる, 0.023
25, ガンバ大阪, Home, Win, 強み, 0.018
25, ガンバ大阪, Home, Win, 良い, 0.016
25, ガンバ大阪, Home, Win, カウンター, 0.012
25, ガンバ大阪, Home, Win, 方向, 0.012
25, ガンバ大阪, Home, Win, ティーラトン, 0.012
25, ガンバ大阪, Home, Win, 危険, 0.011
25, ガンバ大阪, Home, Win, 新しい, 0.01
25, ガンバ大阪, Home, Win, 姿勢, 0.01
25, ガンバ大阪, Home, Win, やれ, 0.01
25, ガンバ大阪, Home, Win, うまく, 0.009
26, サンフレッチェ広島, Home, Win, 結びつい, 0.024
26, サンフレッチェ広島, Home, Win, 上げ, 0.024
26, サンフレッチェ広島, Home, Win, 予想, 0.024
26, サンフレッチェ広島, Home, Win, くる, 0.024
26, サンフレッチェ広島, Home, Win, 分間, 0.019
