Matchday#, Team_Against, Home_Away, Match_Result, Word, TF-IDF
12, サンフレッチェ広島, Home, Win, フィット, 0.024
12, サンフレッチェ広島, Home, Win, 発揮, 0.021
12, サンフレッチェ広島, Home, Win, 分間, 0.018
12, サンフレッチェ広島, Home, Win, 状況, 0.017
12, サンフレッチェ広島, Home, Win, 修正, 0.016
12, サンフレッチェ広島, Home, Win, 去年, 0.016
12, サンフレッチェ広島, Home, Win, ベスト, 0.016
13, 北海道コンサドーレ札幌, Home, Win, 完封, 0.038
13, 北海道コンサドーレ札幌, Home, Win, する, 0.022
13, 北海道コンサドーレ札幌, Home, Win, 個人, 0.019
13, 北海道コンサドーレ札幌, Home, Win, 意欲, 0.019
13, 北海道コンサドーレ札幌, Home, Win, 暑, 0.019
13, 北海道コンサドーレ札幌, Home, Win, 楽しい, 0.019
13, 北海道コンサドーレ札幌, Home, Win, いっさい, 0.019
13, 北海道コンサドーレ札幌, Home, Win, 褒美, 0.019
13, 北海道コンサドーレ札幌, Home, Win, 松田, 0.019
13, 北海道コンサドーレ札幌, Home, Win, かかわら, 0.019
14, ヴィッセル神戸, Away, Draw, 集中, 0.056
14, ヴィッセル神戸, Away, Draw, ミス, 0.042
14, ヴィッセル神戸, Away, Draw, 決定的, 0.04
14, ヴィッセル神戸, Away, Draw, 機, 0.04
14, ヴィッセル神戸, Away, Draw, 決定, 0.04
14, ヴィッセル神戸, Away, Draw, 保て, 0.04
14, ヴィッセル神戸, Away, Draw, 苦しく, 0.04
14, ヴィッセル神戸, Away, Draw, 苦しい, 0.04
14, ヴィッセル神戸, Away, Draw, 逃し, 0.04
14, ヴィッセル神戸, Away, Draw, 苦しめる, 0.04
15, 川崎フロンターレ, Home, Lose, 振り返っ, 0.06
15, 川崎フロンターレ, Home, Lose, 続き, 0.05
15, 川崎フロンターレ, Home, Lose, 明日, 0.04
15, 川崎フロンターレ, Home, Lose, 展開, 0.035
15, 川崎フロンターレ, Home, Lose, 後半, 0.034
15, 川崎フロンターレ, Home, Lose, しまい, 0.026
15, 川崎フロンターレ, Home, Lose, 点差, 0.025
15, 川崎フロンターレ, Home, Lose, 情報, 0.025
15, 川崎フロンターレ, Home, Lose, 耳, 0.025
15, 川崎フロンターレ, Home, Lose, 数字, 0.025
16, 名古屋グランパス, Away, Lose, 逆転, 0.04
16, 名古屋グランパス, Away, Lose, ミス, 0.039
16, 名古屋グランパス, Away, Lose, しまう, 0.039
16, 名古屋グランパス, Away, Lose, 変え, 0.032
16, 名古屋グランパス, Away, Lose, システム, 0.03
16, 名古屋グランパス, Away, Lose, なっ, 0.027
16, 名古屋グランパス, Away, Lose, しまい, 0.026
16, 名古屋グランパス, Away, Lose, 結びつか, 0.025
16, 名古屋グランパス, Away, Lose, 追いつか, 0.025
16, 名古屋グランパス, Away, Lose, 途中, 0.025
17, セレッソ大阪, Home, Lose, ボックス, 0.035
17, セレッソ大阪, Home, Lose, 取らせ, 0.035
17, セレッソ大阪, Home, Lose, おっしゃる, 0.035
17, セレッソ大阪, Home, Lose, 原則, 0.035
17, セレッソ大阪, Home, Lose, ポスト, 0.035
17, セレッソ大阪, Home, Lose, 取る, 0.028
17, セレッソ大阪, Home, Lose, 質, 0.024
17, セレッソ大阪, Home, Lose, 場面, 0.024
17, セレッソ大阪, Home, Lose, 行き, 0.024
17, セレッソ大阪, Home, Lose, 最後, 0.022
18, 清水エスパルス, Home, Win, ポジション, 0.038
18, 清水エスパルス, Home, Win, 畠中, 0.029
18, 清水エスパルス, Home, Win, システム, 0.028
18, 清水エスパルス, Home, Win, 喜田, 0.025
18, 清水エスパルス, Home, Win, 守る, 0.019
18, 清水エスパルス, Home, Win, 詳しい, 0.019
18, 清水エスパルス, Home, Win, 経験, 0.015
18, 清水エスパルス, Home, Win, 仕事, 0.015
18, 清水エスパルス, Home, Win, 状態, 0.015
18, 清水エスパルス, Home, Win, ベスト, 0.015
19, サガン鳥栖, Away, Win, 率, 0.048
19, サガン鳥栖, Away, Win, 前半, 0.033
19, サガン鳥栖, Away, Win, 場面, 0.032
19, サガン鳥栖, Away, Win, ボール, 0.027
19, サガン鳥栖, Away, Win, 後半, 0.024
19, サガン鳥栖, Away, Win, 狙える, 0.024
19, サガン鳥栖, Away, Win, 上回ら, 0.024
19, サガン鳥栖, Away, Win, 回し, 0.024
19, サガン鳥栖, Away, Win, 自陣, 0.024
19, サガン鳥栖, Away, Win, つなが, 0.024
20, ベガルタ仙台, Home, Win, 連動, 0.039
